id,name,description,keywords,image_url,category,origin,color,season
89,Dưa Hấu Không Hạt,"Dưa Hấu Không Hạt tương tự dưa hấu thường nhưng không có hạt, tiện lợi khi ăn.","ngọt mát, không hạt, tiện lợi",http://localhost:5000/static/images/dua_hau_khong_hat.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, đỏ",quanh năm
90,Quả Purple Corn (Ngô Tím),"Quả Purple Corn (Ngô Tím) hạt tím, giàu chất chống oxy hóa, thường làm nước uống.","tím, chống oxy hóa",http://localhost:5000/static/images/purple_corn.jpg,Hạt ăn được,Peru,tím,mùa hè
91,Xoài Non,"Xoài Non quả xanh, cứng, vị chua gắt, thường ăn kèm muối ớt.","chua gắt, cứng, ăn vặt",http://localhost:5000/static/images/xoai_non.jpg,Trái cây nhiệt đới,Nhiều nơi,xanh,quanh năm
92,Chuối Ngự Xanh,"Chuối Ngự Xanh là loại chuối Ngự được thu hoạch khi còn xanh, thường dùng để luộc.","ngọt, xanh, luộc",http://localhost:5000/static/images/chuoi_ngu_xanh.jpg,Trái cây nhiệt đới,Hà Nam,xanh,quanh năm
93,Mãng Cầu Ta Tây Ninh,"Mãng Cầu Ta Tây Ninh quả to, ruột trắng, ngọt đậm, thơm, ít hạt hơn các loại na khác.","ngọt đậm, thơm, ít hạt",http://localhost:5000/static/images/mang_cau_tay_ninh.jpg,Trái cây nhiệt đới,Tây Ninh,"xanh, trắng",mùa hè
94,Trái Chùm Ruột,"Chùm Ruột quả nhỏ, tròn, màu vàng xanh, vị chua gắt, thường dùng làm mứt hoặc ô mai.","chua gắt, làm mứt, ô mai",http://localhost:5000/static/images/chum_ruot.jpg,Trái cây phổ biến,Miền Nam,"xanh, vàng",quanh năm
95,Quả Vải Chua,"Vải Chua quả nhỏ hơn vải thiều, vị chua nhiều hơn ngọt, thường dùng làm nước giải khát.","chua, giải khát, nhỏ",http://localhost:5000/static/images/vai_chua.jpg,Trái cây nhiệt đới,Miền Bắc,"đỏ, trắng",mùa hè
96,Bưởi Diễn,"Bưởi Diễn quả nhỏ, vỏ vàng óng khi chín, múi ráo, vị ngọt đậm, thơm đặc trưng, để được lâu.","ngọt đậm, thơm, để lâu",http://localhost:5000/static/images/buoi_dien.jpg,Trái cây có múi,Hà Nội,"vàng, trắng","Tết, cuối năm"
97,Hồng Đà Lạt,"Hồng Đà Lạt là tên chung cho các loại hồng trồng ở Đà Lạt, bao gồm hồng giòn, hồng trứng.","ngọt, giòn, mềm",http://localhost:5000/static/images/hong_da_lat.jpg,Trái cây ôn đới,Đà Lạt,"cam, vàng",mùa thu
98,Quả Chayote (Su Su),"Quả Chayote (Su Su) hình quả lê, màu xanh nhạt, thịt trắng, giòn, vị ngọt nhẹ, thường dùng luộc, xào.","ngọt nhẹ, giòn",http://localhost:5000/static/images/chayote.jpg,Rau ăn quả,Mexico,xanh,quanh năm
99,Mít Tơ Hạt Lép,"Mít Tơ Hạt Lép múi vàng, thơm lừng, ngọt đậm, hạt rất nhỏ hoặc lép hoàn toàn.","ngọt đậm, thơm, hạt lép",http://localhost:5000/static/images/mit_to_hat_lep.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, vàng",mùa hè
100,Cà Na Thái,"Cà Na Thái quả to hơn cà na Việt Nam, vị chua nhẹ hơn, giòn, thường dùng để dầm.","chua nhẹ, giòn, to, dầm",http://localhost:5000/static/images/ca_na_thai.jpg,Trái cây phổ biến,Miền Nam,xanh,quanh năm
101,Chuối Lùn,"Chuối Lùn quả nhỏ, ngắn, mập, ngọt đậm, thơm, thường được dùng để thờ cúng.","ngọt đậm, thơm, nhỏ, thờ cúng",http://localhost:5000/static/images/chuoi_lun.jpg,Trái cây nhiệt đới,Nhiều nơi,"vàng, xanh",quanh năm
102,Dâu Gia Xoan,"Dâu Gia Xoan quả nhỏ, tròn, màu đỏ tím, vị chua ngọt nhẹ, thường mọc hoang hoặc trồng làm cảnh.","chua ngọt, nhỏ, hoang dã",http://localhost:5000/static/images/dau_gia_xoan.jpg,Quả mọng,"Miền Bắc, Trung","đỏ, tím",mùa hè
103,Sầu Riêng Monthong,"Sầu Riêng Monthong cơm vàng nhạt, hạt to, vị ngọt nhẹ, ít béo hơn Ri6, thơm dịu.","ngọt nhẹ, thơm dịu, ít béo",http://localhost:5000/static/images/sau_rieng_monthong.jpg,Trái cây nhiệt đới,Miền Tây,"xanh, vàng",mùa hè
104,Táo Xanh,"Táo Xanh quả tròn, màu xanh sáng, vị chua thanh, giòn, thường dùng ăn sống hoặc ép nước.","chua thanh, giòn, ăn sống",http://localhost:5000/static/images/tao_xanh.jpg,Trái cây ôn đới,Nhiều nơi,xanh,quanh năm
105,Xoài Đài Loan,"Xoài Đài Loan quả to, dài, màu xanh nhạt hoặc vàng, thịt dày, ngọt, ít xơ, thơm.","ngọt, ít xơ, to, thơm",http://localhost:5000/static/images/xoai_dai_loan.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, vàng",quanh năm
106,Bưởi Phúc Trạch,"Bưởi Phúc Trạch vỏ xanh vàng, ruột hồng đào, múi ráo, vị ngọt đậm, thơm dịu, có hạt.","ngọt đậm, thơm dịu, có hạt",http://localhost:5000/static/images/buoi_phuc_trach.jpg,Trái cây có múi,Hà Tĩnh,"xanh, vàng, hồng",mùa thu
107,Cam Cao Phong,"Cam Cao Phong quả tròn, vỏ vàng cam, múi mọng nước, vị ngọt thanh, ít chua, thơm.","ngọt thanh, mọng nước, ít chua",http://localhost:5000/static/images/cam_cao_phong.jpg,Trái cây có múi,Hòa Bình,"cam, vàng",mùa đông
108,Chanh Giấy Hạt Lép,"Chanh Giấy Hạt Lép tương tự chanh giấy nhưng hạt rất ít hoặc không có, tiện lợi hơn.","chua thanh, không hạt, tiện lợi",http://localhost:5000/static/images/chanh_giay_hat_lep.jpg,Trái cây có múi,Miền Nam,xanh,quanh năm
109,Dưa Leo,"Dưa Leo quả dài, màu xanh, thịt giòn, nhiều nước, vị mát, thường dùng ăn sống hoặc làm salad.","giòn, nhiều nước, ăn sống",http://localhost:5000/static/images/dua_leo.jpg,Rau ăn quả,Nhiều nơi,xanh,quanh năm
110,Mắc Mật,"Mắc Mật quả nhỏ, tròn, màu vàng cam, vị chua ngọt, thơm, thường dùng làm gia vị ướp thịt.","chua ngọt, thơm, làm gia vị",http://localhost:5000/static/images/mac_mat.jpg,Trái cây phổ biến,Miền núi phía Bắc,"cam, vàng",mùa hè
111,Na Thái,"Na Thái quả to hơn na Việt Nam, vỏ xanh sần, thịt trắng, mềm, ngọt đậm, ít hạt hơn.","ngọt đậm, mềm, ít hạt, to",http://localhost:5000/static/images/na_thai.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, trắng","mùa hè, thu"
112,Quả Dâu Rừng,"Dâu Rừng quả nhỏ, màu đỏ hoặc đen, vị chua ngọt, mọc dại trong rừng.","chua ngọt, nhỏ, mọc dại",http://localhost:5000/static/images/dau_rung.jpg,Quả mọng,Miền núi,"đỏ, đen","mùa xuân, hè"
113,Quả Bitter Melon (Khổ Qua/Mướp Đắng),"Quả Bitter Melon (Khổ Qua/Mướp Đắng) dài, vỏ sần sùi, màu xanh, vị đắng đặc trưng, thường dùng nấu canh, xào.","đắng, nấu canh",http://localhost:5000/static/images/bitter_melon.jpg,Rau ăn quả,Châu Á,xanh,quanh năm
114,Bơ 034,"Bơ 034 quả dài, thon, hạt nhỏ, thịt vàng kem, dẻo, béo ngậy, thơm.","béo ngậy, dẻo, dài, thơm",http://localhost:5000/static/images/bo_034.jpg,Trái cây nhiệt đới,Tây Nguyên,"xanh, vàng",mùa hè
115,Chôm Chôm Rừng,"Chôm Chôm Rừng quả nhỏ, gai dài, vị chua hơn chôm chôm trồng, mọc dại.","chua, nhỏ, mọc dại",http://localhost:5000/static/images/chom_chom_rung.jpg,Trái cây nhiệt đới,Miền núi,"đỏ, trắng",mùa hè
116,Quýt Tiều,"Quýt Tiều quả dẹt, vỏ mỏng, dễ bóc, vị ngọt thanh, thơm dịu.","ngọt thanh, dễ bóc, thơm",http://localhost:5000/static/images/quyt_tieu.jpg,Trái cây có múi,Miền Nam,"cam, vàng",mùa đông
117,Bưởi Da Xanh Ruột Hồng,"Bưởi Da Xanh Ruột Hồng có ruột màu hồng đào rất đẹp mắt, vị ngọt đậm.","ngọt đậm, ruột hồng, đẹp mắt",http://localhost:5000/static/images/buoi_da_xanh_ruot_hong.jpg,Trái cây có múi,Bến Tre,"xanh, hồng","mùa thu, cuối năm"
118,Dâu Tây Mộc Châu,"Dâu Tây Mộc Châu quả vừa, màu đỏ tươi, vị chua ngọt hài hòa, thơm.","chua ngọt, thơm, đỏ",http://localhost:5000/static/images/dau_tay_moc_chau.jpg,Quả mọng,Sơn La,đỏ,"mùa đông, xuân"
119,Nhãn Hương Chi,"Nhãn Hương Chi cùi dày, hạt nhỏ, vị ngọt đậm, thơm, giòn, được trồng phổ biến.","ngọt đậm, thơm, giòn",http://localhost:5000/static/images/nhan_huong_chi.jpg,Trái cây nhiệt đới,Hưng Yên,"nâu, trắng",mùa hè
120,Quả Trám,"Quả Trám nhỏ, màu xanh tím, vị chua chát, thường dùng để kho thịt hoặc ngâm muối.","chua chát, làm món ăn",http://localhost:5000/static/images/qua_tram.jpg,Trái cây phổ biến,Miền núi phía Bắc,"xanh, tím",mùa thu
121,Ổi Xá Lị,"Ổi Xá Lị quả to, vỏ xanh nhạt, ruột trắng hoặc hồng, thịt giòn, vị ngọt nhẹ, thơm.","giòn, ngọt nhẹ, thơm",http://localhost:5000/static/images/oi_xa_li.jpg,Trái cây phổ biến,Miền Nam,"xanh, trắng, hồng",quanh năm
122,Nho Xanh,"Nho Xanh quả tròn hoặc bầu dục, màu xanh lá, vị chua ngọt, giòn, không hạt hoặc có hạt.","chua ngọt, giòn, xanh",http://localhost:5000/static/images/nho_xanh.jpg,Quả mọng,Ninh Thuận,xanh,quanh năm
123,Thanh Trà Ngọt,"Thanh Trà Ngọt là giống thanh trà có vị ngọt hơn, ít chua.","ngọt, ít chua, thơm",http://localhost:5000/static/images/thanh_tra_ngot.jpg,Trái cây nhiệt đới,Cần Thơ,"vàng, xanh",mùa hè
124,Chanh Muối,"Chanh Muối là sản phẩm từ chanh tươi ngâm muối, vị mặn, chua, giải khát.","mặn, chua, giải khát",http://localhost:5000/static/images/chanh_muoi.jpg,Chế biến,Nhiều nơi,"xanh, vàng",quanh năm
125,Quả Gấc,"Quả Gấc tròn, vỏ gai, màu đỏ cam đậm khi chín, ruột đỏ tươi, giàu dinh dưỡng, thường dùng nấu xôi.","dinh dưỡng, đỏ tươi, nấu xôi",http://localhost:5000/static/images/qua_gac.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, đỏ","mùa thu, đông"
126,Trái Thù Lù,"Trái Thù Lù nhỏ, tròn, màu vàng cam, được bao bọc bởi lá đài, vị chua ngọt.","chua ngọt, nhỏ, đặc biệt",http://localhost:5000/static/images/trai_thu_lu.jpg,Quả mọng,Nhiều nơi,"vàng, cam",quanh năm
127,Quả Bình Bát,"Quả Bình Bát hình tim, màu xanh khi non, vàng khi chín, thịt mềm, vị ngọt.","ngọt, mềm, hình tim",http://localhost:5000/static/images/qua_binh_bat.jpg,Trái cây nhiệt đới,Miền Nam,"xanh, vàng",quanh năm
128,Lựu Trắng,"Lựu Trắng vỏ xanh nhạt, ruột trắng trong, hạt mọng nước, vị ngọt thanh, ít chua.","ngọt thanh, trắng, giải khát",http://localhost:5000/static/images/luu_trang.jpg,Trái cây ôn đới,Ninh Thuận,"xanh, trắng","mùa hè, thu"
129,Chuối Hột,"Chuối Hột quả nhỏ, nhiều hạt đen, vị ngọt chát, thường dùng ngâm rượu thuốc.","ngọt chát, nhiều hạt, ngâm rượu",http://localhost:5000/static/images/chuoi_hot.jpg,Trái cây nhiệt đới,Nhiều nơi,"vàng, xanh",quanh năm
130,Dưa Lưới Ruột Xanh,"Dưa Lưới Ruột Xanh có ruột màu xanh ngọc, vị ngọt mát, giòn, thơm dịu.","ngọt mát, giòn, ruột xanh",http://localhost:5000/static/images/dua_luoi_ruot_xanh.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, trắng",quanh năm
131,Chuối Ngự Đỏ,"Chuối Ngự Đỏ là giống chuối Ngự đặc biệt, vỏ có sắc đỏ khi chín, vị thơm ngon.","ngọt đậm, thơm, đỏ",http://localhost:5000/static/images/chuoi_ngu_do.jpg,Trái cây nhiệt đới,Hà Nam,"đỏ, vàng",quanh năm
132,Xoài Cát Hòa Lộc,"Xoài Cát Hòa Lộc quả to, thuôn dài, vỏ vàng tươi, thịt vàng cam, rất ngọt, thơm lừng, ít xơ.","rất ngọt, thơm lừng, ít xơ, to",http://localhost:5000/static/images/xoai_cat_hoa_loc.jpg,Trái cây nhiệt đới,Đồng bằng sông Cửu Long,"vàng, cam",mùa hè
133,Sầu Riêng Khổ Qua Xanh,"Sầu Riêng Khổ Qua Xanh cơm màu xanh nhạt, vị ngọt béo vừa, hơi đắng nhẹ, thơm đặc trưng.","ngọt béo, đắng nhẹ, thơm",http://localhost:5000/static/images/sau_rieng_kho_qua_xanh.jpg,Trái cây nhiệt đới,Miền Tây,"xanh, vàng",mùa hè
134,Chôm Chôm Nước,"Chôm Chôm Nước vỏ đỏ gai dài, thịt ít ngọt, nhiều nước, thường dùng làm nước giải khát.","ít ngọt, nhiều nước, giải khát",http://localhost:5000/static/images/chom_chom_nuoc.jpg,Trái cây nhiệt đới,Miền Nam,"đỏ, trắng",mùa hè
135,Thanh Long Vỏ Vàng,"Thanh Long Vỏ Vàng có vỏ màu vàng tươi, ruột trắng hoặc vàng, vị ngọt đậm hơn thanh long đỏ/trắng.","ngọt đậm, vỏ vàng, đặc biệt",http://localhost:5000/static/images/thanh_long_vang.jpg,Trái cây nhiệt đới,Bình Thuận,"vàng, trắng",quanh năm
136,Quả Điều,"Quả Điều có phần hạt cứng, phần cuống mềm, màu vàng hoặc đỏ, vị chua ngọt chát, thường dùng làm hạt điều.","chua ngọt, làm hạt, hạt cứng",http://localhost:5000/static/images/qua_dieu.jpg,Hạt ăn được,Tây Nguyên,"vàng, đỏ",mùa khô
137,Quả Loofah (Mướp Hương),"Quả Loofah (Mướp Hương) dài, vỏ xanh, vị ngọt nhẹ, thơm, thường dùng nấu canh, xào.","ngọt nhẹ, thơm",http://localhost:5000/static/images/loofah.jpg,Rau ăn quả,Châu Á,xanh,quanh năm
138,Dừa Xiêm,"Dừa Xiêm quả nhỏ, vị ngọt thanh, thơm dịu, thường dùng ăn tươi hoặc làm nước ép.","ngọt thanh, thơm dịu, nhỏ",http://localhost:5000/static/images/dua_xiem.jpg,Trái cây nhiệt đới,Nhiều nơi,"vàng, xanh",quanh năm
139,Quả Bồ Hòn,"Quả Bồ Hòn nhỏ, tròn, màu nâu, có chất saponin tạo bọt, thường dùng làm chất tẩy rửa tự nhiên.","tẩy rửa, tự nhiên",http://localhost:5000/static/images/qua_bo_hon.jpg,Thực vật khác,Miền núi,nâu,quanh năm
140,Mít Viên Linh,"Mít Viên là mít được tách múi sẵn, đóng gói tiện lợi, thường là mít ruột vàng.","tiện lợi, đóng gói",http://localhost:5000/static/images/mit_vien.jpg,Chế biến,Nhiều nơi,vàng,quanh năm
141,Xoài Tím,"Xoài Tím quả có màu tím đặc trưng khi chín, thịt vàng cam, ngọt, thơm.","tím, ngọt, thơm",http://localhost:5000/static/images/xoai_tim.jpg,Trái cây nhiệt đới,Miền Nam,"tím, vàng",mùa hè
142,Hồng Hột,"Hồng Hột là giống hồng có hạt, thịt mềm, ngọt lịm.","ngọt lịm, mềm, có hạt",http://localhost:5000/static/images/hong_hot.jpg,Trái cây ôn đới,Đà Lạt,"cam, vàng",mùa thu
143,Cà Chua,"Cà Chua quả tròn hoặc bầu dục, màu đỏ khi chín, vị chua ngọt, thường dùng làm rau hoặc ăn sống.","chua ngọt, làm rau, đỏ",http://localhost:5000/static/images/ca_chua.jpg,Rau ăn quả,Nhiều nơi,"đỏ, xanh",quanh năm
144,Chanh Vàng,"Chanh Vàng quả tròn hoặc bầu dục, vỏ vàng, thơm, vị chua thanh, thường dùng làm nước uống, pha chế.","chua thanh, thơm, pha chế",http://localhost:5000/static/images/chanh_vang.jpg,Trái cây có múi,Nhiều nơi,vàng,quanh năm
145,Ổi Không Hạt,"Ổi Không Hạt là giống ổi được lai tạo không có hạt, tiện lợi khi ăn, giòn, ngọt nhẹ.","không hạt, giòn, ngọt nhẹ",http://localhost:5000/static/images/oi_khong_hat.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, trắng",quanh năm
146,Xoài Úc,"Xoài Úc quả to, tròn, vỏ hồng đỏ khi chín, thịt vàng, ngọt đậm, thơm, ít xơ.","ngọt đậm, thơm, to, ít xơ",http://localhost:5000/static/images/xoai_uc.jpg,Trái cây nhiệt đới,Miền Nam,"hồng, đỏ, vàng",mùa hè
147,Quả Vả,"Quả Vả hình tròn dẹt, màu xanh, thịt mềm, vị chát nhẹ, thường dùng ăn kèm gỏi hoặc luộc.","chát nhẹ, ăn gỏi",http://localhost:5000/static/images/qua_va.jpg,Trái cây phổ biến,Nhiều nơi,xanh,quanh năm
148,Cam Xã Đoài,"Cam Xã Đoài quả tròn, màu vàng tươi, vỏ mỏng, vị ngọt đậm, thơm đặc trưng, nổi tiếng.","ngọt đậm, thơm, nổi tiếng",http://localhost:5000/static/images/cam_xa_doai.jpg,Trái cây có múi,Nghệ An,"vàng, cam",mùa đông
149,Chôm Chôm Rong Riêng,"Chôm Chôm Rong Riêng có vỏ đỏ gai dài, thịt trắng trong, tróc hạt, vị ngọt đậm, giòn.","ngọt đậm, giòn, tróc hạt",http://localhost:5000/static/images/chom_chom_rong_rieng.jpg,Trái cây nhiệt đới,Miền Nam,"đỏ, trắng",mùa hè
150,Ổi Găng,"Ổi Găng quả nhỏ, tròn, màu xanh đậm, thịt giòn, vị ngọt nhẹ, thơm.","giòn, ngọt nhẹ, nhỏ",http://localhost:5000/static/images/oi_gang.jpg,Trái cây phổ biến,Miền Bắc,"xanh, trắng",quanh năm
151,Bưởi Luận Văn,"Bưởi Luận Văn vỏ đỏ cam, ruột hồng đào, vị ngọt đậm, thơm, thường dùng thờ cúng.","ngọt đậm, thơm, thờ cúng",http://localhost:5000/static/images/buoi_luan_van.jpg,Trái cây có múi,Thanh Hóa,"đỏ, cam, hồng",Tết
152,Đu Đủ Xanh (Chưa chín),"Đu Đủ Xanh là quả đu đủ chưa chín, thịt cứng, thường dùng làm nộm, gỏi.","làm gỏi, làm nộm, xanh",http://localhost:5000/static/images/du_du_xanh.jpg,Rau ăn quả,Nhiều nơi,xanh,quanh năm
153,Cherry Mỹ,"Cherry Mỹ quả tròn, màu đỏ đậm hoặc đen, vị ngọt thanh, giòn, thường nhập khẩu.","ngọt thanh, giòn, nhập khẩu",http://localhost:5000/static/images/cherry_my.jpg,Quả mọng,Mỹ,"đỏ, đen",mùa hè (Bắc bán cầu)
154,Kiwi Xanh,"Kiwi Xanh vỏ nâu có lông, ruột xanh lá, vị chua ngọt, nhiều vitamin C, thơm.","chua ngọt, vitamin C, thơm",http://localhost:5000/static/images/kiwi_xanh.jpg,Trái cây ôn đới,New Zealand,"nâu, xanh",quanh năm
155,Nho Đen Không Hạt,"Nho Đen Không Hạt quả to, màu đen sẫm, vị ngọt đậm, giòn, không hạt, nhập khẩu.","ngọt đậm, giòn, không hạt, nhập khẩu",http://localhost:5000/static/images/nho_den_khong_hat.jpg,Quả mọng,"Mỹ, Úc",đen,quanh năm
156,Lê Hàn Quốc,"Lê Hàn Quốc quả to, tròn, vỏ vàng nhạt, thịt giòn, ngọt mát, nhiều nước.","ngọt mát, giòn, nhiều nước",http://localhost:5000/static/images/le_han_quoc.jpg,Trái cây ôn đới,Hàn Quốc,vàng,mùa thu
157,Việt Quất,"Việt Quất quả nhỏ, tròn, màu xanh tím đậm, vị chua ngọt, giàu chất chống oxy hóa.","chua ngọt, chống oxy hóa, nhỏ",http://localhost:5000/static/images/viet_quat.jpg,Quả mọng,"Mỹ, Canada","xanh, tím",mùa hè
158,Mâm Xôi (Raspberry),"Mâm Xôi quả nhỏ, cấu trúc rời, màu đỏ hoặc đen, vị chua ngọt, thơm, mềm.","chua ngọt, thơm, mềm, nhỏ",http://localhost:5000/static/images/mam_xoi.jpg,Quả mọng,"Châu Âu, Mỹ","đỏ, đen",mùa hè
159,Dâu Tằm Trắng,"Dâu Tằm Trắng quả nhỏ, màu trắng, vị ngọt nhẹ hơn dâu tằm đen, thường dùng ăn tươi.","ngọt nhẹ, trắng, nhỏ",http://localhost:5000/static/images/dau_tam_trang.jpg,Quả mọng,Miền Bắc,trắng,mùa xuân
160,Vú Sữa Vàng,"Vú Sữa Vàng vỏ vàng tươi, thịt trắng sữa, ngọt thanh, thơm dịu.","ngọt thanh, thơm, vàng",http://localhost:5000/static/images/vu_sua_vang.jpg,Trái cây nhiệt đới,Miền Nam,"vàng, trắng","mùa đông, xuân"
161,Quả Gấc (Chế biến),"Quả Gấc dùng để làm màu cho xôi, mứt, có giá trị dinh dưỡng cao.","dinh dưỡng, làm màu",http://localhost:5000/static/images/qua_gac_02.jpg,Chế biến,Nhiều nơi,đỏ,quanh năm
162,Chuối Hột Rừng,"Chuối Hột Rừng là chuối hột mọc dại, quả nhỏ hơn, nhiều hạt hơn, thường dùng ngâm rượu.","ngọt chát, nhiều hạt, ngâm rượu",http://localhost:5000/static/images/chuoi_hot_rung.jpg,Trái cây nhiệt đới,Miền núi,"vàng, xanh",quanh năm
163,Cam Vinh,"Cam Vinh quả tròn, màu vàng cam, vỏ mỏng, vị ngọt thanh, thơm dịu, nhiều nước.","ngọt thanh, thơm, nhiều nước",http://localhost:5000/static/images/cam_vinh.jpg,Trái cây có múi,Nghệ An,"cam, vàng",mùa đông
164,Quýt Lai Vung,"Quýt Lai là các giống quýt được lai tạo, đa dạng về hương vị và kích thước.","đa dạng, lai tạo",http://localhost:5000/static/images/quyt_lai.jpg,Trái cây có múi,Nhiều nơi,"cam, vàng",quanh năm
165,Nho Đỏ,"Nho Đỏ quả tròn hoặc bầu dục, màu đỏ, vị chua ngọt, có hạt hoặc không hạt.","chua ngọt, đỏ",http://localhost:5000/static/images/nho_do.jpg,Quả mọng,Nhiều nơi,đỏ,quanh năm
166,Quả Sấu,"Quả Sấu nhỏ, tròn, màu xanh, vị chua gắt, thường dùng nấu canh chua, ô mai.","chua gắt, nấu canh, ô mai",http://localhost:5000/static/images/qua_sau.jpg,Trái cây phổ biến,Miền Bắc,xanh,mùa hè
167,Quả Bồ Kết,"Quả Bồ Kết dài, màu nâu đen, thường dùng làm dầu gội đầu tự nhiên.","gội đầu, tự nhiên",http://localhost:5000/static/images/qua_bo_ket.jpg,Thực vật khác,Nhiều nơi,"nâu, đen",quanh năm
168,Quả Thị,"Quả Thị tròn, màu vàng tươi, thơm lừng, vị ngọt chát, thường dùng để chưng cất nước hoa.","ngọt chát, thơm lừng",http://localhost:5000/static/images/qua_thi.jpg,Trái cây phổ biến,Nhiều nơi,vàng,mùa thu
169,Quả Dành Dành,"Quả Dành Dành nhỏ, màu vàng cam, thường dùng làm màu thực phẩm tự nhiên.","làm màu, tự nhiên",http://localhost:5000/static/images/qua_danh_danh.jpg,Thực vật khác,Nhiều nơi,"cam, vàng",quanh năm
170,Quả Dẻ,"Quả Dẻ hình tròn, vỏ cứng, màu nâu, ruột trắng, vị bùi, thường rang hoặc luộc.","bùi, rang, luộc",http://localhost:5000/static/images/qua_de.jpg,Hạt ăn được,Miền núi phía Bắc,"nâu, trắng",mùa thu
171,Quả Cậy,"Quả Cậy nhỏ, tròn, màu xanh, vị chua gắt, thường dùng nấu canh chua.","chua gắt, nấu canh",http://localhost:5000/static/images/qua_cay.jpg,Trái cây phổ biến,Miền Bắc,xanh,mùa hè
172,Quả Sung,"Quả Sung nhỏ, hình giọt nước, màu xanh hoặc tím, vị ngọt nhẹ, thường dùng ăn kèm.","ngọt nhẹ, ăn kèm",http://localhost:5000/static/images/qua_sung.jpg,Trái cây phổ biến,Nhiều nơi,"xanh, tím",quanh năm
173,Quả Thanh Mai (Dâu Rừng Việt),"Thanh Mai quả nhỏ, tròn, màu đỏ đậm, vị chua ngọt, thường mọc ở vùng núi cao.","chua ngọt, nhỏ, mọc dại",http://localhost:5000/static/images/thanh_mai.jpg,Quả mọng,Miền núi phía Bắc,đỏ,mùa hè
174,Quả Gáo,"Quả Gáo tròn, màu xanh, vị chát, thường dùng làm gia vị hoặc ngâm.","chát, làm gia vị",http://localhost:5000/static/images/qua_gao.jpg,Trái cây phổ biến,Miền Nam,xanh,quanh năm
175,Quả Xoài Cát Chu (Chín),"Xoài Cát Chu đã chín hoàn toàn, thịt mềm, ngọt lịm.","ngọt lịm, mềm",http://localhost:5000/static/images/xoai_cat_chu_chin.jpg,Trái cây nhiệt đới,Đồng bằng sông Cửu Long,vàng,mùa hè
176,Quả Dâu Tây Đà Lạt (To),"Dâu Tây Đà Lạt kích thước lớn hơn, mọng nước.","chua ngọt, thơm, to",http://localhost:5000/static/images/dau_tay_da_lat_to.jpg,Quả mọng,Đà Lạt,đỏ,"mùa đông, xuân"
177,Quả Nhãn Lồng Hưng Yên (Cùi dày),"Nhãn Lồng Hưng Yên có cùi rất dày, ăn giòn hơn.","ngọt lịm, giòn, cùi dày",http://localhost:5000/static/images/nhan_long_cui_day.jpg,Trái cây nhiệt đới,Hưng Yên,"nâu, trắng",mùa hè
178,Quả Đu Đủ (Vàng),"Đu Đủ chín vàng tươi, thịt mềm.","ngọt, mềm, thơm",http://localhost:5000/static/images/du_du_vang.jpg,Trái cây nhiệt đới,Nhiều nơi,"cam, vàng",quanh năm
